# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Hydaspes	river of India, a tributary of the Indus
Hydra	water-serpent killed by Hercules near the Lernean Lake
Hydrela	city of Caria
Hydrochous	constellation Aquarius
Hydrus2	city of Calabria
Hyes	one of the first three Dioscuri
Hyettus	city of Boeotia, north of lake Copais
Hygea	daughter of Aesculapius
Hyginus	surname of two Roman authors
Hylactor	name of a hound of Actoeon
Hylaeus	centaur who offered violence to Atalanta
Hylas	beautiful youth of Oechalia
Hylax	Barker, the name of a dog
Hyles	centaur
Hyleus	one who took part in the Calydonian hunt
Hyllus	son of Hercules by Dejanira
Hylonome	beautiful wife of the centaur Cyllarus
Hymen	god of marriage, of weddings, Hymen
Hymettus	mountain near Athens
Hymnis	comedy of Coecilius Statius
Hypaepa	small town in Lydia, now Bereki
Hypanis	river of European Sarmatia, now the Boug
Hypasis	river in India, a tributary of the Indus
Hypata	small town of Thessaly, near the Peneus, now Neopatra
Hyperbolus	Athenian orator
Hyperborei	fabulous people living at the extreme north, the Hyperboreans
Hyperia	fountain at Pheroe, in Thessaly
Hyperides	celebrated orator in Athens
Hyperion	Son of a Titan and the Earth
Hypermnestra	youngest of the daughters of Danaus
Hypobolimaeus	Counterfeit
Hypsa	river in Sicily, now Belici
Hypsaeus	surname of P. Plautius
Hypseus	one who was present at the nuptials of Perseus
Hypsicrates	grammarian
Hypsipyle	daughter of Thoas
Hyrcani	Hyrcanians on the Caspian Sea
Hyrgaletici	Hyrgaletic plains, on the borders of Phrygia and Caria
Hyrie	lake
Hyrieus	poor Boeotian, father of Orion
Hyrtacus	father of Nisus
Hystaspes	father of the Persian king Darius
Iacchus	poetic and mystical appellation of Bacchus
Iadera	city of Illyria, now Zara
Iaera	sea-nymph or Nereid, Hom
Iamblichus	Arabian emir
Iamidae	descendants of Iamus, son of Apollo, Cic. div. 1
Iamphoryna	capital of the Moedi in Macedonia
Ianthe	daughter of Telestes, in Creta
Iapetides	player on the cithara
Iapetus	Titan, son of Uranos and Goea
Iapis	physician of Aeneas
Iapydes	people of Illyria
Iapyx	son of Doedalus
Iarartes	river of Central Asia, now Syr-Daria
Iarba	king of Mauritania
Iardanis	daughter of Iardanus
Iasius1	Son of Jupiter and Electra, beloved of Ceres
Iasius2	Of or belonging to Iasius
Iason	Jason, a famous Grecian hero, son of Aeson
Iassus	ancient and wealthy town on the coast of Caria
Iazyges	sarmatian people on the Danube
Ibycus	Greek lyric poet of Rhegium
Icadius	notorious robber
Icaria	island in the Icarian sea, now Nicaria
Icarus	son of Doedalus
Iccius	Roman proper name
Icelos	son of Somnus
Iceni	people in the southeastern part of Great Britain
Ichnobates	one of Actoeon's hounds
Ichnusa	very ancient name of the island of Sardinia
Ichthyophagi	name of several nations living upon fish
Icilius	Roman family name
Iconium	city of Lycaonia, now Koniyeh
Ida	high mountain in Crete
Idaeus2	herald and charioteer of Priam
Idalium	mountaincity in Cyprus, sacred to Venus
Idas	Son of Aphareus, king of Messene
Idistaviso	plain bordering on the Visurgis
Idmon	father of Arachne, a native of Colophon
Idomeneus	king of Crete
Idomenius	pertaining to the Macedonian city Idomene, Idomenian
Idumaea	region of Palestine
Idus	one of the three days in each month
Idyia	wife of Aeetes and mother of Medea
Idyllium	Idyl, pastoral poem
Iesus	Jesus Christ
Igilium	small island in the Tyrrhene Sea, now Giglio
Ignigena	fire-born, a poetical epithet of Bacchus
Ignipotens	potent in fire, ruler of fire, ignipotent
Iguvium	city of Umbria, now Gubbio
Ilerda	city in Hispania Tarraconensis, on the Sicoris, now Lerida
Ilergavonenses	people of Hispania Tarraconensis, on the sea-coast
Ilergetes	people of Hispania Tarraconensis
Ilia2	poetical name of Rhea Silvia
Iliades	Trojan
Ilienses2	people in Sardinia
Iliona	eldest daughter of Priam, the wife of Polymnestor
Ilioneus	youngest son of Niobe
Ilipa	city of Hispania Boetica
Ilithyia	goddess of the Greeks who aided women in childbirth
Ilium1	poetical name for Troja, the city of Ilium, Troy
Illiberi	city of Hispania Boetica
Illyrii	people on the Adriatic Sea
Iluro	town in Hispania Tarraconensis, the modern Maltaeo
Ilus	son of Tros, brother of Assaracus and Ganymede
Ilva	modern Island of Elba, in the Mediterranean Sea
Ilvates	Ligurian tribe
Imacharensis	of Imachara
Imaus	great chain of mountains in Asia
Imbrasus	companion of Aeneas, father of Glaucus and Lades
Imbricitor	he who causes showers, the shower - sender
Imbros	small island in the Aegean Sea
Imporcitor	deity that presides over the drawing of furrows
Inachia	name of a girl
Inachus	first king of Argos, father of Io and Phoroneus
Inalpinus	living upon the Alps, Alpine
Inarime	island in the Tyrrhene Sea
India	country extending from the Indus to China
Indianus	Indian
Indicus	of India, Indian
Indigetes	heroes elevated to the rank of gods after their death
Indus1	of or belonging to India, Indian
Indus2	name of two rivers
Industria2	city in Liguria
Indutiomarus	chief of the Treviri
Ingaevones	Germanic tribe, near the ocean
Ingauni	people of Liguria, on the sea - coast
Inguiomerus	prince of the Germans
Ingyaeones	German tribe
Inopus	fountain and river in the island of Delos
Insani montes	insane mountains
Insitor2	god that presides over grafting
Insochi	people of Armenia
Insuber	of or belonging to Insubria
Insula2	part of Syracuse cut off from the rest
Intemelii	people on the coast of Liguria
Intercatia	city of Hispania Tarraconensis
Intercidona	one of the three deities
Interdidium	place in Alexandria
Interduca	epithet of Juno
Interprominius	place in the territory of the Marrucini
Intibili	city in Hispania Tarraconensis
Io2	daughter of Inachus, king of Argos, beloved by Jupiter
Iob	Job
Iocasta	wife of Laius
Iol	former name of the city of Caesarea in Numidia
Iolaus	son of Iphiclus
Iolcos	town and harbor of Thessaly, in Magnesia
Iole	daughter of Eurytus, king of Oechalia
Iollas	Trojan
Ion2	Athenian, son of Xuthus
Ionas	Hebrew prophet Jonah
Iones	inhabitants of Ionia, the Ionians
Ionicus	of or belonging to Ionia, Ionic
Ionis	Ionian
Ionius	of or belonging to Ionia, Ionian
Ios	small island of the Sporades, in the Aegean Sea
Iphias	daughter of Iphis
Iphiclus	one of the Argonauts, a swift runner
Iphicrates	famous Athenian general
Iphigenia	daughter of Agamemnon and Clytemnestra
Iphimedia	wife of Aloeus
Iphinoe	Lemnian woman
Iphinous	centaur
Iphis1	youth of Cyprus
Iphis2	Cretan girl who was changed into a man
Iphitus	son of Eurytus and Antiope, one of the Argonauts
Iprasturgi	town of Baetica
Iresiae	city of Thessaly
Iriates	inhabitants of Julia Iria, in Liguria, near Dertona
Irine	small island in the Argolic Gulf, the modern Ypsili
Iris	goddess of the rainbow, daughter of Thaumas and Electra
Irus	name of a beggar in the house of Ulysses
Isaac	son of Abraham, Prud
Isacia	island opposite Velia
Isaeus	Grecian orator of Chalcis, instructor of Demosthenes
Isaias	prophet Isaiah
Isara	river of Gaul that falls into the Rhone
Isauri	Asiatic tribe between Pamphylia, Lycaonia
Isaurus1	river in Picenum, now Foglia
Ischomache	daughter of Atracius or Atrax
Iseum	temple of Isis
Isidorus	Isidore, the name of several celebrated writers of antiquity
Isidotus	sculptor
Isigonus	historian
Isiondensis	of or belonging to the city of Isionda
Isis	Egyptian goddess Isis
Ismael	Abraham's son by Hagar, Ishmael
Ismarus1	mountain on the southern coast of Thrace
Ismarus2	Lydian, companion of Aeneas
Ismene	daughter of Oedipus
Ismenias	celebrated Theban flute-player
Ismenus	river of Boeotia, near Thebes
Isocrates	celebrated orator and teacher of rhetoric at Athens
Israel	short), m., Israel, another name of the patriarch Jacob
Issa	island in the Adriatic Sea, near Illyria
Isse	daughter of the Lesbian king Macareus
Issus2	city of Cilicia, on the Mediterranean
Istaevones	ancient people of Germany bordering on the Rhine
Isthmus	strip of land between two seas, an isthmus
Istri	inhabitants of Istria, the Istrians
Istyaeones	German tribe
Italia	Italy
Italica	confederate name of the city
Ithaca	island in the Ionian Sea, the kingdom of Ulysses
Ithome	city of Messenia
Itius	port of the Morini, in Belgic Gaul
Itone	city and mountain in Boeotia
Ituraea	district of Coelesyria
Itylus	son of Ze thus
Itys	Son of Tereus and Progne
Iulis2	city in the island of Ceos
Iulus2	son of Ascanius and grandson of Aeneas
Ixion	son of Phlegyas
Ixor	river in Gaetulia
Izi	people of India
Jabolenus	celebrated Roman jurist in the time of Trajan, Hadrian
Jacetani	people in northern Spain
Jactus3	river flowing into the Po
Jana	Diana, the moon-goddess
Janalis	of or belonging to Janus
Janiculum	one of the hills of Rome
Janigena	begotten by Janus, child of Janus
Janualis	of or belonging to Janus
Januarius	of or belonging to Janus.—Esp
Janus	old Italian deity
Jaxamatae	people on the lake Maeotis
Jaxartes	river of Sogdiana, now Sir or Sihoon
Jeremias	Hebrew prophet Jeremiah
Jericho	Hebrew city Jericho
Joannes	John the Baptist
Joppe	Joppa, a seaport of Palestine, now Jaffa
Jordanes	Jordan, the principal river of Palestine
Joseph	Son of the patriarch Jacob
Josephus	Jewish historian, taken prisoner by Flavius Vespasian
Jovialis	of or pertaining to Jupiter
Jovisjurandum	swearing by Jupiter
Jovius1	of or belonging to Jupiter
Jovius2	surname of the emperor Diocletian.—
Juba2	name of two Numidian-kings
Judaea	country of the Jews, Judea, Palestine
Judaismus	Judaism
Judaizo	to live in the Jewish manner
Judas	Judah
Jugatinus	god of marriage
Jugula	three stars which form Orion's belt
Jugurtha	nephew and successor of Micipsa, king of Numidia
Juliacum	city of Gallia Belgica, now Juliers
Julianus1	of or belonging to Julius Caesar, Julian
Julianus2	Julian, a Roman proper name
Julias	town in Galilee
Juliensis	of or belonging to Julius, Julian
Juliobriga	town in Hispania Tarraconensis
Julius	Roman family name
Junianus	of or belonging to a Junius, Junian
Junius	Roman family name
Juno	goddess Juno, daughter of Saturn
Juppiter	Jupiter or Jove, a son of Saturn
Jura	chain of mountains extending from the Rhine to the Rhone
Justina	Roman empress, wife of the elder Valentinian
Justinianus2	Justinian
Justinus	Justin
Juturna	fountain in Latium
Juvenalis2	Juvenal
Juvencus2	priest in Spain in the time of Constantine the Great
Juventius	Roman family name
Juverna	Ireland, Mela, 3, 6, 6
Kalendae	Calends, the first day of the month
Kalendalis	of or belonging to the Kalends
Kalendarium	debt-book, account-book, the interest-book of a money-lender
Kalendarius	of or belonging to the Kalends
Koppa	letter of the original Greek alphabet
Labdace	name of a girl
Labdacus	king of Thebes, father of Laius
Labeates	people of Illyria
Labeo2	surname
Laberius	Roman family name
Labici	town of Latium, between Tusculum and Praeneste, now Colonna
Labienus	name of several Romans
Laborinus	district in Campania, lying around Capua and Nola
Labrandius	surname of Jupiter, derived from the town of Labranda
Labro	seaport in Etruria
Lacaena	Spartan, Lacedaemonian
Lacedaemon	city of Lacedaemon or Sparta, near the modern Mistra
Lacerna2	name of a rich charioteer
Lacetani	people of Hispania Tarraconensis
Laches	name of an old man
Lachesis	one of the three Fates
Laciades	one belonging to the Lacian demos
Lacinium	promontory in Magna Graecia, near Crotona
Laco	Laconian, Lacedaemonian, Spartan
Lacobriga	town of Lusitania
Lactans2	god of milky growth in corn
Lactantius	celebrated father of the Church in the beginning
Lactucinus	Roman surname in the familia Valeria
Lacturcia	goddess who presided over the corn swelling with milk
Lacydes	Academician of Cyrene, a pupil of Arcesilas
Lacydon	name of the port of Marseilles
Ladas	runner of Alexander the Great
Ladon	river of Arcadia which flows into the Alpheus
Laeana	town of Arabia
Laeca	Roman surname
Laelaps	name of a dog
Laelius	Roman family name.— So
Laenas	surname in the gens Popilia
Laertes	father of Ulysses, Att. ap
Laestrygon	ancient people of Italy, originally in Campania
Laetorius	Roman family name
Laevi	ancient people of Liguria
Laevinus	Roman surname in the gens Valeria
Laevius	Roman poet of the ante-clussical period
Lagarina	kind of wine
Lagon	name of a boy
Lagos	city in Great Phrygia
Lagus	father of Ptolemy I. king of Egypt
Lais	name of two courtesans of Corinth celebrated for their beauty
Laius	son of Labdacus, king of Thebes
Lalage	name of a girl
Laletania	region in Hispania Tarraconensis
Lambrica	town in Hispania Tarraconensis
Lambrus	small river in northern Italy
Lamia2	surname in the gens Aelia
Lamia3	city in Phthiotis, now Zeitun
Lampadio	name of a slave
Lampadiscus	name of a slave
Lampetie	daughter of the sun-god and sister of Phaethon
Lampia	town in Arcadia
Lampon	name of a horse
Lampridius	Roman historiographer, one of the Scriptores Historiae Augustae, Vopisc
Lampsacum	city of Mysia, on the Hellespont
Lampus	One of Actaeon's hounds
Lamus	mythic king of the Laestrygonians, a son of Neptune
Lanarius2	surname of P. Calpurnius
Lanatus2	surname in the gens Menenia
Lancia	city of Hispania Tarraconensis, now Castro
Langobardi	people of northern Germany, west of the Elbe
Lanuvium	town of Latium, on the Via Appia
Laocoon	son of Priam and Hecaba
Laodamia	daughter of Acastus
Laodice	daughter of Priam
Laodicea	name of several cities
Laomedon	father of Priam and Ganymede, king of Troy
Lapathus	fort or castle in Thessaly, at Tempe
Lapicini	people of Liguria
Lapitha	Lapithae, a rude tribe of mountaineers in Thessaly
Laprius	surname of Jupiter, Enn. ap
Lar1	praenomen of Etruscan origin
Lara	daughter of the river-god Almo
Laralia	festival in honor of the Lares
Larentia	wife of Faustulus
Lares1	tutelar deities, Lares, belonging to the Etruscan religion
Lares2	city in Numidia
Larga	name of a woman of bad repute
Largus2	Roman surname
Larinum	town of Samnium, in the territory of the Frentani
Larissa	name of several cities
Larissus	river in Achaia, now Mana
Larius	lake in Gallia Cisalpina, on which Comum lay
Laronia	female name
Lartidius	imitator of Ulysses
Larymna	name of a small town in Boeotia
Lasia	name of the island of Lesbos
Lateranus1	family name in the gens Claudia, Sextia
Lateranus2	god of the hearth
Laterensis2	Roman surname in the gens Juventia
Laterium	villa of Q. Cicero in Arpinum
Latiniensis	Latin
Latinigena	one born in Latium
Latinius	Roman proper name
Latinus2	king of the Laurentians
Latium	country of Italy, in which Rome was situated
Latmus	mountain in Caria, at the mouth of the Maeander
Latobius	almost unknown deity
Latobrigi	Gallic people, neighbors of the Helvetians
Latona	daughter of the Titan Coeus and Phoebe
Latovici	people in Pannonia
Latris	female proper name
Latro3	Roman surname
Laudiceni	dinnerchanters
Laurentum	maritime town in Latium, between Ostia and Lavinium
Laureolus	notorious robber
Lauretum	laurel-grove
Laurolavinium	later name of the city Lavinium
Lauron	city in Hispania Tarraconensis
Laus2	name of several cities.—, a city in Cisalpine Gaul
Lausus	Son of Numitor and brother of Rhea Silvia
Lautulae	place in Rome where there were warm baths
Laverna	patron goddess of gain
Lavernium	place in Campania, otherwise unknown
Lavinia	daughter of Latinus and wife of Aeneas
Lavinium	city of Latium, near the sea-coast
Leaena2	heroic courtesan of Athens
Leander	young man of Abydos
Learchus	son of Athamas and Ino
Lebadia	Boeotian city near Mount Helicon
Lebedus	city on the coast of Ionia, north of Colophon
Lebynthos	one of the Sporadic Isles, now Lenitha
Lechaeum	port of Corinth, on the Corinthian Gulf
Lecton	promontory on the coast of Troy, now C. Baba
Leda1	daughter of Thestius
Ledas	name of a man
Ledus	river in Gallia Narbonensis, now Lez
Leleges	Pelasgic tribe who lived scattered over several parts
Lemannus	Lake of Geneva.—Without lacus
Lemnos	island of Lemnos, in the Aegean Sea
Lemonia	rustic tribe on the Via Latina
Lemovices	people of Aquitanian Gaul, neighbors of the Arverni
Lemovii	Germanic people on the Baltic, bordering on the Rugii
Lemures	shades, ghosts of the departed
Lenaeus1	Lenaean, Bacchic
Lenaeus2	surname of a king, otherwise unknown
Lentinus	name of a man
Lento2	Roman surname
Lentulus2	surname of a distinguished family in the gens Cornelia
Leo3	priests of the Persian god Mithras
Leocorion	temple in Athens
Leoides	daughters of Leos
Leon	name of a town near Syracuse, now Magnisi
Leonidas	king of Sparta
Leonides	instructor of Alexander the Great
Leoninus2	of or belonging to the emperor Leo, Leonine
Leonnatus	one of Alexander's generals
Leonteus	name of a warrior
Leontini	very ancient town on the eastern side of Sicily
Leontium	Athenian hetaera, a friend of Epicurus
Leotychides	brother of Agesilaus
Lepidus2	surname in the gens Aemilia
Lepontii	people of Cisalpine Gaul, on the Ticinus
Lepreum	sea-coast town in Elis, south of Pylos
Lepta	Roman surname
Leptis	name of two cities on the coast of Africa
Lerna	forest and marsh near Argos
Lesbia	name of a woman, one of the dramatis personae
Lesbos	celebrated island in the Aegean Sea
Lesura	mountain in Gaul that produced excellent cheese
Lethaea	wife of Olenus
Lethe	river Lethe, in the infernal regions
Letus	mountain in Liguria
Leuca	town in Calabria, near the Iapygian promontory
Leucadia	island
Leucaethiopes	white Ethiopians of Libya, Plin. 5, 8, 8
Leucaspis2	one of the companions of Aeneas
Leucata	promontory in the island of Leucadia, now Capo Ducato
Leuce	name of several islands
Leuci	people of Gallia Belgica, adjacent to the Lingones, whence
Leucippe	daughter of Thestor
Leucippus	father of Phoebe and Hilaira
Leucon	name of one of Actaeon's hounds
Leuconicus	of or belonging to the Leucones
Leucopetra	promontory in the territory of the Bruttii, near Rhegium
Leucophryna	surname of Diana in Magnesia
Leucosia	small island off the coast of Lucania, near Paestum
Leucosyri	white Syrians on the shores of the Euxine
Leucothea	name of Ino, daughter of Cadmus
Leucothoe	daughter of Orchamus, king of Babylon
Leuctra	small town in Baeotia
Levaci	people of Gallia Belgica, allies of the Nervii
Levana	goddess supposed to raise new-born infants from the ground
Lexanor	name of a warrior
Lexobii	people in Gallia Lugdunensis
Libanus1	Mount Lebanon, in Syria
Libanus2	name of a slave
Libentina	goddess of sensual pleasure, Venus
Liber3	old Italian deity
Libera	Proserpine, daughter of Ceres
Liberalis2	of or belonging to Liber or Bacchus
Libethra	fountain near Magnesia, in Macedonia, sacred to the Muses
Libethrum	city of Macedonia, near the fountain of Libethra
Libici	people of Gallia Transpadana
Libitina	goddess of corpses
Libitinensis	of Libitina
Libo2	Roman surname in the gens Marcia and Scribonia
Libs	Libyan
Libui	people of Gallia Transpadana
Liburni	Liburnians, an Illyrian people, between Istria and Dalmatia
Liburnus2	god of lustful enjoyment
Libyaegyptii	people in the west of Libya interior, Mela, 1
Libyphoenices	Libyphoenicians
Licentius	name of a Christian
Licerianus	of or belonging to the city of Licerium
Lichas	attendant of Hercules
Licinius	Roman family name
Licinus2	surname in the gens Fabia and Porcia.—Also
Licus	river in Vindelicia, a tributary of the Danube
Ligarius	Roman family name
Ligauni	people of Gallia Narbonensis
Ligdus	Cretan, the husband of Telethusa
Ligea	wood-nymph, dryad
Ligella	name of a woman
Liger	river forming the boundary between Gallia Lugdunensis and Aquitania
Ligii	Germanic people on the Weser
Ligures	Ligurians, an Italian people in Gallia Cisalpina
Ligurra	name of a woman
Lilaea	town of Phocis
Lilybaeum	promontory on the southern coast of Sicily
Limaeas	river of Hispania Tarraconensis, now Lima
Limentinus	deity who presided over the threshold
Limici	people of Hispania Tarraconensis
Limnaea	town of Thessaly, now Kortikhi
Limnatis	surname of Diana
Limone	daughter of Hippomenes
Limoniades	nymphs of the meadows and flowers
Limonum	city in Aquitanian Gaul, now Poitiers
Limus4	god of oblique glances
Limyra	river, with a town of the same name
Lindus	town in the island of Rhodes, founded by Lindus
Lingones	people in Celtic Gaul
Lingos	mountain in Epirus
Lipara1	one of the Aeolian isles
Liparis1	Cilician river near the town of Soli
Liparo	king of Syracuse
Liquentia	river in Venetia, now the Livenza
Lirinus	island on the coast of Gallia Narbonensis
Liriope	fountain-nymph, the mother of Narcissus by Cephisus
Liris	river between Latium and Campania, now Garigliano
Lissus	city in southern Dalmatia, on the borders of Macedonia
Litana	forest in Gallia Cisalpina
Liternum	city of Campania
Litubium	town in Liguria
Livilla	daughter of Germanicus and Agrippina
Livius	Roman family name.—So, M. Livius Andronicus
Lixus	river in Mauritania
Lochia	surname of Diana, Inscr. ap
Locri	people of Greece, consisting of several tribes
Locusta2	woman famous for her skill in poisons
Locusta3	name of a man
Logistoricus	lost work of Varro
Lollius	Roman family name
Londinium	city in Britain, the modern London
Longanus	inhabitant of Longula
Longimanus	surname of Artaxerxes, king of Persia
Longinus	Roman surname in the gens Cassia.—So, Cassius Longinus
Longula	Volscian city in the neighborhood of Corioli
Longuntica	city in Hispania Tarraconensis
Lopadusa	island on the coast of Africa
Loracina	river near Antium
Loryma	seaport in Carta
Lot	son of Haran
Lotis	nymph, daughter of Neptune
Lotophagi	African people on the Lesser Syrtis
Lotophagitis	island of the lotus-eaters
Loxias	surname of Apollo, on account of his obscure
Lua	goddess who expiated the blood shed in battle
Luca1	city of Etruria, now Lucca
Luca2	Lucanian
Lucagus	name of a warrior
Lucani	people in Lower Italy
Lucas	St. Luke, the third evangelist
Lucceius	Roman name
Luceium	castle or fortress in Galatia
Luceres	Etruscan tribe
Luceria	ancient city of Apulia, now Lucera
Lucetius	light-bringer, a surname of Jupiter and of Juno
Lucilius	Roman family name
Lucius1	Roman praenomen
Lucretilis	mountain in the Sabine territory, now Monte Genaro
Lucretius	Roman family name
Lucrinus	Lucrine Lake, on the coast of Campania
Lucullus	family name in the gens Licinia
Lucus2	city of the Vocontii
Lugdunum	city of Gaul
Luna2	city of Etruria, now Luni
Lunus	Moon-god, worshipped at Carrae
Luperca	goddess of the old Romans, the wife of Lupercus
Lupercal	grotto on the Palatine Hill
Lupercus	Roman name of the Lycean Pan
Lupia	river in the north-west of Germany, now the Lippe
Lupiae	town of Calabria
Lupicinus	name of a man
Lupodunum	German town near the sources of the Danube
Lupus2	surname in the gens Rutilia
Lurco3	Roman surname
Luscinus2	Roman surname
Lusitania	western part of Spain, the mod
Lusius	river of Arcadia
Lutatius	Roman family name
Lutetia	city in Gallia Lugdunensis, now Paris
Lyaeus	relaxer, unbender, deliverer from care
Lycabas	Tuscan who fled from his country on account
Lycaeus	mountain in Arcadia
Lycambes	Theban who promised his daughter to Archilochus
Lycaon1	king of Arcadia, father of Callisto
Lycaones	Lycaonians, a people of Asia Minor, between Cappadocia, Cilicia
Lycaunus	name of a warrior
Lyce	name of a woman
Lychnidum	city of Illyria, near the Haliacmon
Lycia	country of Asia Minor, between Caria and Pamphylia
Lycidas	one of the Centaurs
Lycimnia	name of the wife of a king of Lydia
Lycimnius	of or belonging to the town of Lycimna
Lycinna	name of a girl
Lycisca	name of a bitch
Lycium2	gymnasium very near Athens, in which Aristotle taught
Lyco	Peripatetic philosopher, a follower of Strato of Lampsacus
Lycomedes	king of the Isle of Scyros
Lyconides	name of a man
Lycophon2	name of a warrior
Lycophron	Lycophron of Chalcis, in Euboea, the author of Cassandra
Lycoreus	son of Apollo
Lycorias	seanymph, daughter of Nereus and Doris
Lycoris	freedwoman of the senator Volumnius Eutrapelus
Lycormas	river of Aetolia
Lycortas	general
Lycotas	one of the Centaurs at the wedding of Pirithous
Lycotherses	king of Illyria
Lyctus	city of Crete, east of Gnossus
Lycurgus	Son of Dryas, king of the Edones
Lycus	Son of Pandion, king of Lycia, Mela, 1, 15
Lyde	wife of the poet Antimachus of Claros
Lydia	country in Asia Minor
Lygdamus	slave of Cynthia, the mistress of Propertius
Lygos2	ancient name of Byzantium
Lyncaeste	one of Actaeon's hounds
Lyncestae	people in the south-western part of Macedonia
Lynceus	Messenian
Lyncus	Masc., a Scythian king
Lyrceius	Lyrcean, of or near the Mount Lyrceum
Lyrcius	fountain in the Peloponnesus
Lyrnesus	town in Troas, the birthplace of Briseis
Lysander	celebrated Spartan general, conqueror of the Athenians
Lysiades	Athenian, son of the philosopher Phaedrus
Lysias	Son of Cephalus, a famous orator of Athens
Lysimachia2	city in Thrace, now Examili, Mela, 2, 2, 6
Lysimachus	one of the generals of Alexander the Great
Lysinoe	city of Pisidia
Lysippus	celebrated brass-founder of Sicyon
Lysis2	small river in Asia Minor
Lysis3	Pythagorean of Tarentum, instructor of Epaminondas
Lysistratus	brother of Lysippus
Lysiteles	name of a man
Lyson	celebrated sculptor
Lystra	city in Lycaonia, north-west of Iconium
Macae1	people in the north-eastern part of Arabia Felix
Macae2	people of Africa in the regio Syrtica, Mela, 3
Macareus	son of Aeolus
Macatus	Roman surname
Maccius	Roman family name. —Hence, T. Maccius Plautus
Macedo2	name of a usurer
Macedones	Macedonians
Macella	town in Sicily, on the Crimisus
Macellinus	epithet of the emperor M. Opilius Macrinus
Macer2	Roman surname
Macerones	people of Iberia
Macetae	Macedonians
Machabaeus	surname of Judas
Machaera2	auctioneer
Machaon	son of Aesculapius
Machimus	name of one of Actaeon's hounds
Machlyes	fabled people of Africa
Machorones	people of Pontus
Macra	river in Italy, between Liguria and Etruria, now Magra
Macri Campi	region in Gallia Cispadana, on the river Macra
Macria	small island near Euboea
Macrinus	name of a man
Macris	name of several islands
Macrobii	people of Aethiopia
Macrobius	Roman grammarian at the end of the fourth century
Macrocephali	people with great heads), a people of Pontus, Mela
Macrochir	Longhand
Macrocremnii montes	chain of mountains near the Dniester
Macula2	Roman surname
Madarus	surname jestingly given to C. Matius
Madaura	city in Numidia, now Ayedrah
Madaurensis	of or belonging to the city of Madaura
Madena	district of Great Armenia
Madytos	seaport town in the Thracian Chersonese, now Maitos
Maeander	river, proverbial for its winding course
Maecenas	Roman knight, descended, on the mother's side
Maecius1	Roman family name
Maecius2	name of a place in Latium
Maedi	Thracian people on the borders of Macedonia
Maelius	Roman family name
Maenades	priestesses of Bacchus, Bacchantes
Maenalus	range of mountains in Arcadia
Maenius	Roman family name
Maeon	Theban, a priest of Apollo
Maeones	inhabitants of Maeonia, Maeonians, for Lydians
Maeotae	Scythian people on Lake Maeotis
Maera	name of a woman who was changed into a dog
Maesia	forest in the territory of the Veii
Maevius	Roman proper names
Magaba	mountain in Galatia
Magdolus	town of Egypt, on the Red Sea
Magnesia	geographical proper name
Magni Campi	place in Africa near Utica
Magnus2	Roman surname
Mago	Carthaginian, the brother of Hannibal
Magontiacum	city of Germany, on the Rhine, the modern Mayence
Magulla	name of a woman
Maharbal	Carthaginian officer under Hannibal
Maius	month of May
Majesta	wife of Vulcan, Piso ap
Majugena	Maia-born
Malaca	city of Hispania Baetica, now Malaga
Malchio	name of a man
Malea	promontory in the Peloponnesus, at the south of Laconia
Maleventum	ancient name of Beneventum, in the Samnite territory
Maliacus	gulf south of Thessaly, now Gulf of Zeitouni
Mallius	Roman proper name
Malloea	city in Thessaly
Mallos	city in Cilicia
Malthinus	fictitious name
Maluginensis	Roman surname in the gens Cornelia
Mamercinus	of or belonging to a Mamercus, Mamercine
Mamercus	Oscan praenomen
Mamers	Oscan name for Mars
Mamertinus1	consul, A. D. 362, under Julian
Mamilius	Roman family name
Mammaea	mother of the emperor Alexander Severus
Mammula2	Roman proper name
Mamurius	maker of the ancilia
Mamurra	Roman knight of Formiae
Mana1	ancient Roman goddesses who presided over the submanes
Manalis2	of or belonging to the Manes
Mancia	Roman surname
Mancinus	Roman proper name
Mandela	town in the Sabine territory, near the Digentia
Mandonius	general in Spain
Mandropolis	city in Great Phrygia
Mandubii	people of Gallia Celtica
Manduria	city of the Salentines, in Lower Italy
Manetho	priest of Heliopolis
Mania1	mother of the Lares
Manichaei	heretical Christian sect
Manilius	Roman family name
Manius	Roman praenomen
Manlius	Roman family name
Mannus2	god of the ancient Germans, son of Tuisco
Mantinea	city of Arcadia
Manto2	daughter of Tiresias, a prophetess
Mantua	city of Gallia Transpadana, on the Mincius
Manturna	goddess of matrimony
Mantus	Etruscan Pluto, the god of the under-world
Maracanda	capital of Sogdiana, now Samarcand
Marathon	town
Marathos	ancient Phoenician city, opposite the island of Arados
Marathus1	favorite of Tibullus
Marcellus	Roman family name in the plebeian gens Claudia
Marcianopolis	city of Lower Moesia on the Euxine, now Imertje
Marcion	heretic of Sinope
Marcipor	slave of Marcus.—Plur
Marcius	Roman family name
Marcodurum	town of the Ubians, in the west of Germany
Marcolica	chief city of Spain
Marcomani	Germanic people
Marcus2	Roman praenomen, in gen. represented by M. simply
Mardi	plundering race dwelling in the highlands between Media, Susiana
Mardonius	son-in-law of Darius
Marea	lake and city of Lower Egypt
Marene	region of Thrace
Margania	city in Margiana
Margiana	country of Asia, beyond the Caspian Sea
Margis	river of Moesia
